Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
ADPT,Adenine phosphoribosyltransferase,ade_c + prpp_c  -> amp_c + ppi_c ,YML022W or YDR441C,0,999999,0,S_Nucleotide_Salvage_Pathway
ADSK,Adenylyl-sulfate kinase,aps_c + atp_c  -> adp_c + h_c + paps_c ,YKL001C,0,999999,0,S_Cysteine_Metabolism
ALPHNH,Allophanate hydrolase,allphn_c + h2o_c + 3 h_c  -> 2 co2_c + 2 nh4_c ,YBR208C,0,999999,0,S_Nitrogen_Metabolism
AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c  <=> amob_c + dann_c ,YNR058W,-999999,999999,0,S_Pantothenate_and_CoA_Biosynthesis
ADSL1r,Adenylsuccinate lyase,dcamp_c  <=> amp_c + fum_c ,YLR359W,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
AMETt2,S adenosyl L methionine transport in via proton symport,amet_e + h_e  -> amet_c + h_c ,YPL274W,0,999999,0,S_Transport__Extracellular
3DH5HPBMTm,S adenosyl L methionine3 hexaprenyl 4 5 dihydroxylate O methyltransferase  mitochondrial,3dh5hpb_m + amet_m  -> 3hph5mb_m + ahcys_m + h_m ,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,0,999999,0,S_Quinone_Biosynthesis
AMETtm,S Adenosyl L methionine reversible transport  mitochondrial,amet_c  <=> amet_m ,YNL003C,-999999,999999,0,S_Transport__Mitochondrial
AMID,GUANIDINOBUTANAMIDE-NH3-RXN,4gudbd_c + h2o_c  -> 4gudbutn_c + nh4_c ,YMR293C or YDR242W,0,999999,0,S_Arginine_and_Proline_Metabolism
AMID2,Amidase,h2o_c + pad_c  -> nh4_c + pac_c ,YDR242W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
AMID3,Amidase,iad_c + h2o_c  -> ind3ac_c + nh4_c ,YDR242W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ADSL2r,Adenylosuccinate lyase,25aics_c  <=> aicar_c + fum_c ,YLR359W,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c  -> dcamp_c + gdp_c + 2 h_c + pi_c ,YNL220W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
AMPN,AMP nucleosidase,amp_c + h2o_c  -> ade_c + r5p_c ,YML035C or YBR284W or YJL070C,0,999999,0,S_Nucleotide_Salvage_Pathway
AMPDA,Adenosine monophosphate deaminase,amp_c + h2o_c + h_c  -> imp_c + nh4_c ,YML035C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
3DH5HPBtm,3 Hexaprenyl 4 5 dihydroxybenzoate transport  mitochondrial,3dh5hpb_c  <=> 3dh5hpb_m ,,-999999,999999,0,S_Transport__Mitochondrial
AMPtn,AMP transport via diffusion  cytosol to nucleus ,amp_n  <=> amp_c ,,-999999,999999,0,S_Transport__Nuclear
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c  -> ppi_c + pran_c ,YDR354W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ATPS3v,ATP synthase  vacuole,adp_v + 3 h_c + pi_v  -> atp_v + h2o_v + 2 h_v ,YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C_A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W,0,999999,0,S_Oxidative_Phosphorylation
3DSPHR,3 Dehydrosphinganine reductase,3dsphgn_c + h_c + nadph_c  -> nadp_c + sphgn_c ,YBR265W,0,999999,0,S_Sphingolipid_Metabolism
ATPtm_H,ADPATP transporter  mitochondrial,adp_c + atp_m + h_c  -> adp_m + atp_c + h_m ,YBR085W or YBL030C or YMR056C,0,999999,0,S_Transport__Mitochondrial
ATPtp_H,ADPATP transporter  peroxisomal,adp_x + atp_c + h_x  -> adp_c + atp_x + h_c ,YPR128C,0,999999,0,S_Transport__Peroxisomal
ANS,Anthranilate synthase,chor_c + gln__L_c  -> anth_c + glu__L_c + h_c + pyr_c ,YER090W and YKL211C,0,999999,0,S_Glutamine_Metabolism
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),2aobut_c + h_c  -> aact_c + co2_c ,,0,999999,0,S_Threonine_and_Lysine_Metabolism
AP4AH,Ap4A hydrolase,ap4a_c + h2o_c  <=> 2 adp_c + 2 h_c ,YDR305C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
APRTO2,N acetylputrescine oxygen oxireductase  deaminating ,aprut_c + h2o_c + o2_c  -> h2o2_c + n4abutn_c + nh4_c ,,0,999999,0,S_Other_Amino_Acid_Metabolism
ARAB14LO,D arabinono 1 4 lactone oxidase,Dara14lac_c + o2_c  <=> ertascb__D_c + h2o2_c ,YML086C,-999999,999999,0,S_Arabinose_Metabolism
BACCL,Biotin acetyl CoA carboxylase ligase,btn_c + atp_c + h_c  -> btamp_c + ppi_c ,YDL141W,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,3hanthrn_c + o2_c  -> cmusa_c + h_c ,YJR025C,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ARAB1D2,D arabinose 1 dehydrogenase  NADP ,arab__D_c + nadp_c  -> Dara14lac_c + h_c + nadph_c ,YBR149W,0,999999,0,S_Arabinose_Metabolism
ARABR,Arabinose reductase,arab__L_c + h_c + nadph_c  -> abt_c + nadp_c ,YHR104W,0,999999,0,S_Arabinose_Metabolism
3HPH5MBDCm,3 Hexaprenyl 4 hydroxy 5 methoxybenzoate decarboxylase  mitochondrial,3hph5mb_m  -> 2hp6mp_m + co2_m ,,0,999999,0,S_Quinone_Biosynthesis
ARAB_Dt,D arabinose reversible transport,arab__D_e  <=> arab__D_c ,,-999999,999999,0,S_Transport__Extracellular
ARAB_Lt,L arabinoase extracellular transport,arab__L_e  <=> arab__L_c ,,-999999,999999,0,S_Transport__Extracellular
ARGN,Arginase,arg__L_c + h2o_c  -> orn_c + urea_c ,YPL111W,0,999999,0,S_Arginine_and_Proline_Metabolism
BPNT,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c  -> amp_c + pi_c ,YOL064C,0,999999,0,S_Cysteine_Metabolism
BTDD_RR, R R  butanediol dehydrogenase,btd_RR_c + nad_c  <=> actn__R_c + h_c + nadh_c ,YAL060W,-999999,999999,0,S_Alternate_Carbon_Metabolism
BTDt_RR, R R  butanediol transport,btd_RR_c  <=> btd_RR_e ,,-999999,999999,0,S_Transport__Extracellular
3IPM3MT,3 Isopropylmalate 3 methyltransferase,3c2hmp_c + amet_c  -> 3ipmmest_c + ahcys_c ,YER175C,0,999999,0,S_Complex_Alcohol_Metabolism
BTNt2i,Biotin uptake,btn_e + h_e  -> btn_c + h_c ,YGR065C,0,999999,0,S_Transport__Extracellular
BTSr,Biotin synthase,dtbt_c + s_c  <=> btn_c + 2 h_c ,YGR286C,-999999,999999,0,S_Pantothenate_and_CoA_Biosynthesis
C14STR,C 14 sterol reductase,44mctr_c + h_c + nadph_c  -> 44mzym_c + nadp_c ,YNL280C,0,999999,0,S_Sterol_Metabolism
C22STDS,C 22 sterol desaturase  NADP ,ergtrol_c + h_c + nadph_c + o2_c  -> ergtetrol_c + 2 h2o_c + nadp_c ,YMR015C and YHR042W,0,999999,0,S_Sterol_Metabolism
C22STDSx,C 22 sterol desaturase  NAD ,ergtrol_c + h_c + nadh_c + o2_c  -> ergtetrol_c + 2 h2o_c + nad_c ,( YIL043C and YNL111C and YMR015C ) or ( YNL111C and YMR015C and YKL150W ),0,999999,0,S_Sterol_Metabolism
C24STRer,C s24 sterol reductase  endoplamic reticular,ergtetrol_r + h_r + nadph_r  -> ergst_r + nadp_r ,YGL012W,0,999999,0,S_Sterol_Metabolism
C3STDH1,C 3 sterol dehydrogenase  4 methylzymosterol ,4mzym_int1_c + nad_c  -> 4mzym_int2_c + co2_c + h_c + nadh_c ,YGL001C,0,999999,0,S_Sterol_Metabolism
ARGSL,Argininosuccinate lyase,argsuc_c  <=> arg__L_c + fum_c ,YHR018C,-999999,999999,0,S_Arginine_and_Proline_Metabolism
ARGSS,Argininosuccinate synthase,asp__L_c + citr__L_c + atp_c  <=> amp_c + argsuc_c + h_c + ppi_c ,YOL058W,-999999,999999,0,S_Arginine_and_Proline_Metabolism
ARGTRS,Arginyl-tRNA synthetase,arg__L_c + atp_c + trnaarg_c  -> amp_c + argtrna_c + ppi_c ,YDR341C,0,999999,0,S_tRNA_charging
ARGTRSm,Arginyl tRNA synthetase  mitochondrial,arg__L_m + atp_m + trnaarg_m  -> amp_m + argtrna_m + ppi_m ,YHR091C,0,999999,0,S_tRNA_charging
ARGt2m,Arginine mitochondrial transport via proton symport,arg__L_c + h_c  <=> arg__L_m + h_m ,,-999999,999999,0,S_Transport__Mitochondrial
ARGt2r,L arganine reversible transport via proton symport,arg__L_e + h_e  <=> arg__L_c + h_c ,YKR039W or YEL063C or YNL270C,-999999,999999,0,S_Transport__Extracellular
ARGt6,L arginine transport in via proton antiport  vacuolar ,arg__L_c + h_v  -> arg__L_v + h_c ,YBR293W,0,999999,0,S_Transport__Vacuolar
ARMT,HnRNP arginine N methyltransferase,amet_c + his__L_c  -> NPmehis_c + ahcys_c + h_c ,YBR034C,0,999999,0,S_Histidine_Metabolism
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c  <=> 4pasp_c + h_c + nadph_c ,YDR158W,-999999,0,0,S_Alanine_and_Aspartate_Metabolism
C3STDH2,C 3 sterol dehydrogenase  zymosterol ,nad_c + zym_int1_c  -> co2_c + h_c + nadh_c + zym_int2_c ,YGL001C,0,999999,0,S_Sterol_Metabolism
C3STKR1,C 3 sterol keto reductase  4 methylzymosterol ,4mzym_int2_c + h_c + nadph_c  -> 4mzym_c + nadp_c ,YLR100W,0,999999,0,S_Sterol_Metabolism
C3STKR2,C 3 sterol keto reductase  zymosterol ,h_c + nadph_c + zym_int2_c  -> nadp_c + zymst_c ,YLR100W,0,999999,0,S_Sterol_Metabolism
ASNN,L-asparaginase,asn__L_c + h2o_c  -> asp__L_c + nh4_c ,YDR321W,0,999999,0,S_Asparagine_metabolism
C4STMO1,C 4 sterol methyl oxidase  4 4 dimethylzymosterol ,44mzym_c + 3 h_c + 3 nadph_c + 3 o2_c  -> 4mzym_int1_c + 4 h2o_c + 3 nadp_c ,YGR060W,0,999999,0,S_Sterol_Metabolism
ASNNe,L asparaginase  extracellular,asn__L_e + h2o_e  -> asp__L_e + nh4_e ,YLR160C or YLR158C or YLR157C or YLR155C,0,999999,0,S_Asparagine_metabolism
C4STMO2,C 4 sterol methyl oxidase  4 methylzymosterol ,4mzym_c + 3 h_c + 3 nadph_c + 3 o2_c  -> 4 h2o_c + 3 nadp_c + zym_int1_c ,YGR060W,0,999999,0,S_Sterol_Metabolism
ASNS1,Asparagine synthase (glutamine-hydrolysing),asp__L_c + atp_c + gln__L_c + h2o_c  -> amp_c + asn__L_c + glu__L_c + h_c + ppi_c ,YML096W or YGR124W or YPR145W,0,999999,0,S_Alanine_and_Aspartate_Metabolism
3MBALDt,3 methylbutanal transport  extracellular ,3mbald_c  <=> 3mbald_e ,,-999999,999999,0,S_Transport__Extracellular
ASNTRS,Asparaginyl-tRNA synthetase,asn__L_c + atp_c + trnaasn_c  -> amp_c + asntrna_c + ppi_c ,YHR019C,0,999999,0,S_tRNA_charging
ASNTRSm,Asparaginyl tRNA synthetase  miotchondrial,asn__L_m + atp_m + trnaasn_m  -> amp_m + asntrna_m + ppi_m ,YCR024C,0,999999,0,S_tRNA_charging
C5STDS,C 5 sterol desaturase,epist_c + h_c + nadph_c + o2_c  -> ergtrol_c + 2 h2o_c + nadp_c ,YLR056W,0,999999,0,S_Sterol_Metabolism
C8STI,C 8 sterol isomerase,fecost_c  -> epist_c ,YMR202W,0,999999,0,S_Sterol_Metabolism
ASNt2m,Asparagine mitochondrial transport via proton transport,asn__L_c + h_c  <=> asn__L_m + h_m ,,-999999,999999,0,S_Transport__Mitochondrial
ASNt2r,L asparagine reversible transport via proton symport,asn__L_e + h_e  <=> asn__L_c + h_c ,YKR039W or YCL025C or YDR508C or YPL265W,-999999,999999,0,S_Transport__Extracellular
3MBALDtm,3 methylbutanal transport  mitochondrial ,3mbald_c  <=> 3mbald_m ,,-999999,999999,0,S_Transport__Mitochondrial
ASNt6,L asparagine transport in via proton antiport  vacuolar ,asn__L_c + h_v  -> asn__L_v + h_c ,YJR001W,0,999999,0,S_Transport__Vacuolar
ASNt7,L asparagine transport out via proton symport  vacuolar,asn__L_v + h_v  -> asn__L_c + h_c ,YKL146W or YNL101W,0,999999,0,S_Transport__Vacuolar
CAT,Catalase,2 h2o2_c  -> 2 h2o_c + o2_c ,YGR088W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
CATp,Catalase A  peroxisomal,2 h2o2_x  -> 2 h2o_x + o2_x ,YDR256C,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ASPCT,Aspartate carbamoyltransferase,cbp_c + asp__L_c  -> cbasp_c + h_c + pi_c ,YJL130C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
3MOBDC,3 Methyl 2 oxobutanoate decarboxylase,3mob_c + h_c  -> 2mppal_c + co2_c ,YLR134W or YLR044C or ( YGR087C and YGR087C ),0,999999,0,S_Complex_Alcohol_Metabolism
ASPGLU2m,Aspartate glutamate transporter,asp__L_m + glu__L_c  -> asp__L_c + glu__L_m ,YPR021C,0,999999,0,S_Transport__Mitochondrial
ASPGLUtp,Aspartate glutamate peroxisomal shuttle,asp__L_c + glu__L_x  <=> asp__L_x + glu__L_c ,,-999999,999999,0,S_Transport__Peroxisomal
ASPK,Aspartate kinase,asp__L_c + atp_c  -> 4pasp_c + adp_c ,YER052C,0,999999,0,S_Alanine_and_Aspartate_Metabolism
ASPOcm,Aspartate oxidase,asp__L_c + fad_m  -> fadh2_m + iasp_c + h_c ,,0,999999,0,S_Folate_Metabolism
CBASPtn,N carbomoyl L aspartate transport  diffusion,cbasp_n  <=> cbasp_c ,,-999999,999999,0,S_Transport__Nuclear
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2 atp_c + gln__L_c + h2o_c + hco3_c  -> 2 adp_c + cbp_c + glu__L_c + 2 h_c + pi_c ,( YJR109C and YOR303W ) or YJL130C,0,999999,0,S_Arginine_and_Proline_Metabolism
CBPtn,Carbamoyl phosphate nuclear transport via diffusion,cbp_c  <=> cbp_n ,,-999999,999999,0,S_Transport__Nuclear
CCP2m,Cytochrome c peroxidase  mitochondrial,2 focytc_m + h2o2_m  -> 2 ficytc_m + 2 h2o_m ,( YKR066C and YJR048W ) or ( YKR066C and YEL039C ),0,999999,0,S_Oxidative_Phosphorylation
CDPDGPm_SC,CDP diacylglycerol  serine O phosphatidyltransferae  yeast specific  mitochondrial,0.01 cdpdag_SC_m + glyc3p_m  <=> cmp_m + h_m + 0.01 pgp_SC_m ,YCL004W,-999999,999999,0,S_Phospholipid_Biosynthesis
ASPTA,Aspartate transaminase,akg_c + asp__L_c  <=> glu__L_c + oaa_c ,YLR027C,-999999,999999,0,S_Alanine_and_Aspartate_Metabolism
ASPTAm,Aspartate transaminase,akg_m + asp__L_m  <=> glu__L_m + oaa_m ,YKL106W,-999999,999999,0,S_Alanine_and_Aspartate_Metabolism
3MOBtm,3 methyl 2 oxobutanoate transport  diffusion  mitochondrial,3mob_c  <=> 3mob_m ,,-999999,999999,0,S_Transport__Mitochondrial
ASPTAp,Aspartate transaminase  peroxisomal,akg_x + asp__L_x  <=> glu__L_x + oaa_x ,YLR027C,-999999,999999,0,S_Alanine_and_Aspartate_Metabolism
ASPTRS,Aspartyl-tRNA synthetase,asp__L_c + atp_c + trnaasp_c  -> amp_c + asptrna_c + ppi_c ,YLL018C,0,999999,0,S_tRNA_charging
ASPTRSm,Aspartyl tRNA synthetase  mitochondrial,asp__L_m + atp_m + trnaasp_m  -> amp_m + asptrna_m + ppi_m ,YPL104W,0,999999,0,S_tRNA_charging
CDPtn,CDP nuclear transport,cdp_c  <=> cdp_n ,,-999999,999999,0,S_Transport__Nuclear
CER1_24ter,Ceramide 1  C24  endoplasmic reticular transport,cer1_24_c  <=> cer1_24_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
CER1_26ter,Ceramide 1  C26  endoplasmic reticular transport,cer1_26_c  <=> cer1_26_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
CER2_24ter,Ceramide 2  C24  endoplasmic reticular transport,cer2_24_c  <=> cer2_24_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
CER2_26ter,Ceramide 2  C26  endoplasmic reticular transport,cer2_26_c  <=> cer2_26_r ,,-999999,999999,0,S_Transport__Endoplasmic_Reticular
ASPt2m,Aspartate mitochondrial transport via proton symport,asp__L_c + h_c  <=> asp__L_m + h_m ,,-999999,999999,0,S_Transport__Mitochondrial
ASPt2n,Aspartate nuclear transport via proton symport,asp__L_c + h_c  <=> asp__L_n + h_n ,,-999999,999999,0,S_Transport__Nuclear
CERASE124er,Alkaline ceramidase  ceramide 1   endoplasmic reticulum,cer1_24_r + coa_r + h_r  -> sphgn_r + ttccoa_r ,YPL087W,0,999999,0,S_Sphingolipid_Metabolism
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,3mop_c + h_c  -> 2mbald_c + co2_c ,YLR044C or YDL080C or YLR134W or YGR087C or YDR380W,0,999999,0,S_Complex_Alcohol_Metabolism
CERASE126er,Alkaline ceramidase  ceramide 1   endoplasmic reticulum,cer1_26_r + coa_r + h_r  -> hexccoa_r + sphgn_r ,YPL087W,0,999999,0,S_Sphingolipid_Metabolism
ASPt2r,L aspartate reversible transport via proton symport,asp__L_e + h_e  <=> asp__L_c + h_c ,YFL055W or YKR039W or YPL265W,-999999,999999,0,S_Transport__Extracellular
ASPt5n,L aspartate nuclear transport via diffusion,asp__L_n  <=> asp__L_c ,,-999999,999999,0,S_Transport__Nuclear
ASPt7,L aspartate transport out via proton symport  vacuolar,asp__L_v + h_v  -> asp__L_c + h_c ,YER119C,0,999999,0,S_Transport__Vacuolar
CERASE224er,Alkaline ceramidase  ceramide 2   endoplasmic reticulum,cer2_24_r + coa_r + h_r  -> psphings_r + ttccoa_r ,YPL087W or YBR183W,0,999999,0,S_Sphingolipid_Metabolism
CERASE226er,Alkaline ceramidase  ceramide 2   endoplasmic reticulum,cer2_26_r + coa_r + h_r  -> hexccoa_r + psphings_r ,YPL087W or YBR183W,0,999999,0,S_Sphingolipid_Metabolism
ATHRDHr,L-allo-threonine dehydrogenase,athr__L_c + nadp_c  <=> 2aobut_c + h_c + nadph_c ,YMR226C,-999999,999999,0,S_Threonine_and_Lysine_Metabolism
3MOPt,3mop reversible trasport,3mop_e  <=> 3mop_c ,,-999999,999999,0,S_Transport__Extracellular
ATP2tp_H,AMPATP transporter  peroxisomal,amp_x + atp_c + h_x  -> atp_x + amp_c + h_c ,YPR128C,0,999999,0,S_Transport__Peroxisomal
ATPATF1,ATP adenylyltransferase,adp_c + atp_c + h_c  -> ap4a_c + pi_c ,YDR530C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
ATPATF2,ATP adenylyltransferase,adp_c + gtp_c + h_c  -> ap4g_c + pi_c ,YCL050C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
ATPATF3,ATP adenylyltransferase,gdp_c + gtp_c + h_c  -> gp4g_c + pi_c ,YCL050C,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
ATPH1,ATP diphosphohydrolase,atp_c + 2 h2o_c  -> amp_c + 2 h_c + 2 pi_c ,YER005W,0,999999,0,S_Nucleotide_Salvage_Pathway
ATPM,ATP maintenance requirement,atp_c + h2o_c  -> adp_c + h_c + pi_c ,,1,1,0,Biomass and maintenance functions
CERH124_copy1,Ceramide 1 hydroxylase  24C ,cer1_24_c + h_c + nadph_c + o2_c  -> cer2_24_c + h2o_c + nadp_c ,YDR297W,0,999999,0,S_Sphingolipid_Metabolism
CERH126_copy1,Ceramide 1 hydroxylase  26C ,cer1_26_c + h_c + nadph_c + o2_c  -> cer2_26_c + h2o_c + nadp_c ,YDR297W,0,999999,0,S_Sphingolipid_Metabolism
CERS124,Ceramide 1 synthase  24C ,sphgn_c + ttccoa_c  -> cer1_24_c + coa_c + h_c ,YKL008C or YHL003C,0,999999,0,S_Sphingolipid_Metabolism
CERS124er,Ceramide 1 synthase  24C   endoplasmic reticular,sphgn_r + ttccoa_r  -> cer1_24_r + coa_r + h_r ,YHL003C or YKL008C or YPL087W,0,999999,0,S_Sphingolipid_Metabolism
CERS126,Ceramide 1 synthase  26C ,hexccoa_c + sphgn_c  -> cer1_26_c + coa_c + h_c ,YKL008C or YHL003C,0,999999,0,S_Sphingolipid_Metabolism
CERS126er,Ceramide 1 synthase  26C   endoplasmic reticular,hexccoa_r + sphgn_r  -> cer1_26_r + coa_r + h_r ,YHL003C or YKL008C or YPL087W,0,999999,0,S_Sphingolipid_Metabolism
CERS224,Ceramide 2 synthase  24C ,psphings_c + ttccoa_c  -> cer2_24_c + coa_c + h_c ,YKL008C or YHL003C,0,999999,0,S_Sphingolipid_Metabolism
CERS224er,Ceramide 2 synthase  24C   endoplasmic reticular,psphings_r + ttccoa_r  -> cer2_24_r + coa_r + h_r ,YHL003C or YKL008C or YBR183W,0,999999,0,S_Sphingolipid_Metabolism
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c  -> ppi_c + prbatp_c ,YER055C,0,999999,0,S_Histidine_Metabolism
ATPS,ATPase  cytosolic,atp_c + h2o_c  -> adp_c + h_e + pi_c ,( YCR024C_A and YEL017C_A and YGL008C ) or ( YCR024C_A and YEL017C_A and YPL036W ),0,999999,0,S_Transport__Extracellular
ATPS3g,ATP synthase  Golgi Apparatus,adp_g + 3 h_c + pi_g  -> atp_g + h2o_g + 2 h_g ,YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C_A and YKL080W and YLR447C and YMR054W and YOR332W and YPL234C and YPR036W,0,999999,0,S_Oxidative_Phosphorylation
ATPS3m,ATP synthase  mitochondrial,adp_m + 3 h_c + pi_m  -> atp_m + h2o_m + 2 h_m ,( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDL181W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C_A and YPL078C and YPL271W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDL181W and YDR298C and YDR322C_A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C_A and YOL077W_A and YPL078C and YPL271W and YPR020W ),0,999999,0,S_Oxidative_Phosphorylation
CERS226,Ceramide 2 synthase  26C ,hexccoa_c + psphings_c  -> cer2_26_c + coa_c + h_c ,YKL008C or YHL003C,0,999999,0,S_Sphingolipid_Metabolism
CERS226er,Ceramide 2 synthase  26C   endoplasmic reticular,hexccoa_r + psphings_r  -> cer2_26_r + coa_r + h_r ,YHL003C or YKL008C or YBR183W,0,999999,0,S_Sphingolipid_Metabolism
CERH124_copy2,Ceramide 1 hydroxylase  24C ,cer1_24_c + h_c + nadph_c + o2_c  -> cer2_24_c + h2o_c + nadp_c ,YMR272C,0,999999,0,S_Sphingolipid_Metabolism
CERH126_copy2,Ceramide 1 hydroxylase  26C ,cer1_26_c + h_c + nadph_c + o2_c  -> cer2_26_c + h2o_c + nadp_c ,YMR272C,0,999999,0,S_Sphingolipid_Metabolism
CITtbm,Citrate transport  mitochondrial,cit_c + pep_m  <=> cit_m + pep_c ,YBR291C,-999999,999999,0,S_Transport__Mitochondrial
3MOPtm,3 Methyl 2 oxopentanoate transport  diffusion  mitochondrial,3mop_c  <=> 3mop_m ,,-999999,999999,0,S_Transport__Mitochondrial
CITtcm,Citrate transport  mitochondrial,cit_c + icit_m  <=> cit_m + icit_c ,YBR291C,-999999,999999,0,S_Transport__Mitochondrial
CERS324,Ceramide 3 synthase  24C ,cer2_24_c + h_c + nadph_c + o2_c  -> cer3_24_c + h2o_c + nadp_c ,YMR272C,0,999999,0,S_Sphingolipid_Metabolism
CERS326,Ceramide 3 synthase  26C ,cer2_26_c + h_c + nadph_c + o2_c  -> cer3_26_c + h2o_c + nadp_c ,YMR272C,0,999999,0,S_Sphingolipid_Metabolism
CHLPCTD,Choline phosphate cytididyltransferase,cholp_c + ctp_c + h_c  -> cdpchol_c + ppi_c ,YGR202C,0,999999,0,S_Phospholipid_Biosynthesis
CHLSTI,Cholestenol delta isomerase  lumped reaction,amet_c + o2_c + zymst_c  -> ahcys_c + ergtetrol_c + 2 h2o_c + h_c ,,0,999999,0,S_Sterol_Metabolism
CLPNSm_SC,Cardiolipin synthase  yeast specific  mitochondrial,0.01 cdpdag_SC_m + 0.01 pg_SC_m  -> 0.01 clpn_SC_m + cmp_m + h_m ,YDL142C,0,999999,0,S_Phospholipid_Biosynthesis
3OPHB5Hm,3 Hexaprenyl 4 5 dihydroxybenzoate hydroxylase  mitochondrial,3ophb_5_c + 0.5 o2_c  -> 3dh5hpb_c ,,0,999999,0,S_Quinone_Biosynthesis
CMPN,CMP nucleosidase,cmp_c + h2o_c  -> csn_c + r5p_c ,,0,999999,0,S_Nucleotide_Salvage_Pathway
CHLt2,Choline transport via proton symport,chol_e + h_e  -> chol_c + h_c ,YGL077C,0,999999,0,S_Transport__Extracellular
CHOLK,Choline kinase,chol_c + atp_c  -> adp_c + cholp_c + h_c ,YLR133W,0,999999,0,S_Phospholipid_Biosynthesis
CHORM,Chorismate mutase,chor_c  -> pphn_c ,YPR060C,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
CHORS,Chorismate synthase,3psme_c  -> chor_c + pi_c ,YGL148W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
CHRPL,Chorismate pyruvate lyase,chor_c  -> 4hbz_c + pyr_c ,,0,999999,0,S_Quinone_Biosynthesis
CO2t,CO2 transporter via diffusion,co2_e  <=> co2_c ,,-999999,999999,0,S_Transport__Extracellular
CO2tg,CO2 Golgi transport,co2_c  <=> co2_g ,,-999999,999999,0,S_Transport__Golgi_Apparatus
CO2tm,CO2 transport  diffusion   mitochondrial,co2_c  <=> co2_m ,,-999999,999999,0,S_Transport__Mitochondrial
CO2tn,CO2 nuclear transport via diffusion,co2_n  <=> co2_c ,,-999999,999999,0,S_Transport__Nuclear
CO2tp,CO2 peroxisomal transport,co2_c  <=> co2_x ,,-999999,999999,0,S_Transport__Peroxisomal
CHTNDA,Chitin deacetylase,chitin_c + h2o_c  -> ac_c + chitos_c + h_c ,YLR307W or YLR308W,0,999999,0,S_Glutamate_metabolism
CHTNS,Chitin synthase,udpacgal_c  -> chitin_c + h_c + udp_c ,YNL192W or YBR038W or YBR023C,0,999999,0,S_Glutamate_metabolism
CITt2r,Citrate reversible transport via symport,cit_e + h_e  <=> cit_c + h_c ,,-999999,999999,0,S_Transport__Extracellular
CO2tv,CO2 vacuolar transport,co2_c  <=> co2_v ,,-999999,999999,0,S_Transport__Vacuolar
COAHLp,CoA hydrolase  peroxisomal ,coa_x + h2o_x  -> 2 h_x + pan4p_x + pap_x ,YLR151C,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
3OPHB_5tm,3 Octaprenyl 4 hydroxybenzoate mitochondrial transport,3ophb_5_c  <=> 3ophb_5_m ,,-999999,999999,0,S_Transport__Mitochondrial
COAtim,CoA transporter  mitochondrial   irreversible,coa_c  -> coa_m ,YHR002W,0,999999,0,S_Transport__Mitochondrial
